id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
14,COMP_M,5,5_78,5_(76-78),161,163,0,1,5_76,83.22026431718062,478.60882632983254,561.8290906470131,471.60882624906594,478.60882632983254
1,COMP_M,10,10_144,10_(143-144),285,288,199,131,10_143,133.71753246753246,481.62976215829156,615.347294625824,388.85981308411215,481.62976215829156
4,COMP_M,8,8_116,8_(115-116),231,233,194,198,8_115,61.351578947368424,481.74570909062146,543.0972880379899,374.4653789567527,481.74570909062146
24,COMP_M,11,11_145,M.USER.APP.11,15,295,187,187,None,206.2049689440994,482.2049689440994,688.4099378881988,312.0,312.0
4,COMP_M,8,8_123,8_(115-123),231,244,194,16,8_115,78.84227642276423,484.7457089928551,563.5879854156193,374.4653789567527,484.7457089928551
12,COMP_M,12,12_160,12_(149-160),330,314,195,73,12_149,125.28935185185185,485.2697855418652,610.559137393717,386.74460595316054,485.2697855418652
14,COMP_M,5,5_79,5_(76-79),161,164,0,78,5_76,74.38719068413391,490.6088264545051,564.996017138639,471.60882624906594,490.6088264545051
19,COMP_M,7,7_112,7_(111-112),220,223,3,174,7_111,52.14514514514514,492.30536044592674,544.4505055910719,468.30535981823715,492.30536044592674
13,COMP_M,0,0_2,0_(1-2),31,32,192,108,0_1,48.987432675044886,493.32757307829553,542.3150057533404,470.3275726416096,493.32757307829553
19,COMP_M,7,7_110,7_(103-110),208,219,184,19,7_103,42.67578947368421,494.1146409483266,536.7904304220108,456.11463898455247,494.1146409483266
25,COMP_M,18,18_226,18_(218-226),463,447,193,114,18_218,200.37142857142857,498.0346483410136,698.4060769124421,412.0346456692913,498.0346483410136
19,COMP_M,7,7_108,7_(105-108),213,216,152,55,7_105,83.87536231884059,504.36698513216004,588.2423474510006,479.3669838728937,504.36698513216004
12,COMP_M,12,12_161,12_(149-161),330,315,195,22,12_149,36.37577639751553,505.26978667476453,541.6455630722801,386.74460595316054,505.26978667476453
13,COMP_M,0,0_7,0_(0-7),59,40,197,198,0_0,35.188421052631575,506.7457098962011,541.9341309488327,317.6297577854671,506.7457098962011
25,COMP_M,18,18_231,18_(218-231),463,456,193,164,18_218,243.19892473118279,512.0346484601607,755.2335731913436,412.0346456692913,512.0346484601607
13,COMP_M,0,0_18,0_(1-18),31,58,192,138,0_1,39.498456790123456,512.3275731131774,551.8260299033009,470.3275726416096,512.3275731131774
20,COMP_M,11,11_146,11_(145-146),295,291,187,33,11_145,408.34057971014494,518.2049697134521,926.5455494235971,482.2049689440994,518.2049697134521
33,COMP_M,5,5_75,M.USER.APP.5,7,165,195,195,None,147.26978417266187,520.5395683453237,667.8093525179855,423.0,423.0
28,COMP_M,9,9_129,9_(128-129),284,256,195,4,9_128,55.262645914396884,527.2697865957118,582.5324325101087,464.64028776978415,527.2697865957118
17,COMP_M,16,16_208,16_(207-208),424,417,193,153,16_207,3.7864786478647865,528.0346488678823,531.8211275157471,430.5748031496063,528.0346488678823
39,COMP_M,17,17_211,M.USER.APP.17,26,436,169,169,None,31.600656455142232,535,566.6006564551423,535.0,535.0
25,COMP_M,18,18_221,18_(219-221),438,440,62,166,18_219,62.53319057815846,536.0069873176961,598.5401778958546,505.00698690602434,536.0069873176961
3,COMP_M,1,1_24,1_(23-24),65,66,68,71,1_23,78.72663877266388,538.9925305198483,617.7191692925121,516.9925301749461,538.9925305198483
25,COMP_M,18,18_220,18_(219-220),438,439,62,176,18_219,24.91075514874142,539.0069876415222,563.9177427902636,505.00698690602434,539.0069876415222
12,COMP_M,12,12_163,12_(149-163),330,318,195,119,12_149,52.81256436663234,542.2697871175953,595.0823514842277,386.74460595316054,542.2697871175953
16,COMP_M,16,16_210,16_(209-210),419,422,158,166,16_209,70.44539614561027,545.0069874622914,615.4523836079017,487.11224305986366,545.0069874622914
13,COMP_M,0,0_8,0_(1-8),31,41,192,199,0_1,290.196261682243,545.3275758786157,835.5238375608587,470.3275726416096,545.3275758786157
25,COMP_M,18,18_227,18_(219-227),438,449,62,135,18_219,72.29746835443038,548.0069890149271,620.3044573693575,505.00698690602434,548.0069890149271
28,COMP_M,9,9_132,9_(128-132),284,263,195,133,9_128,36.92963752665245,554.269786898304,591.1994244249564,464.64028776978415,554.269786898304
28,COMP_M,9,9_130,9_(128-130),284,258,195,177,9_128,163.75735294117646,554.2697877087262,718.0271406499027,464.64028776978415,554.2697877087262
12,COMP_M,12,12_158,12_(152-158),304,311,125,61,12_152,82.35546038543897,554.6093864974364,636.9648468828753,522.6093859530944,554.6093864974364
35,COMP_M,2,2_39,2_(38-39),117,97,193,160,2_38,41.3048951048951,555.4236233911003,596.7285184959953,503.42362204724407,555.4236233911003
35,COMP_M,2,2_49,2_(38-49),117,113,193,27,2_38,66.43931623931624,556.4236233373834,622.8629395766997,503.42362204724407,556.4236233373834
4,COMP_M,8,8_126,8_(121-126),238,250,50,14,8_121,56.80154639175258,557.0373248924194,613.838871284172,529.0373244220688,557.0373248924194
23,COMP_M,12,12_149,M.USER.APP.12,16,330,184,195,None,177.74460431654677,564.4892102697073,742.2338145862541,289.0,356.0000020592639
42,COMP_M,0,0_0,M.USER.APP.0,0,59,197,197,None,138.62975778546712,570,708.6297577854671,570.0,570.0
3,COMP_M,1,1_26,1_(23-26),65,69,68,146,1_23,193.78756476683938,571.9925313454801,765.7800961123195,516.9925301749461,571.9925313454801
43,COMP_M,4,4_63,M.USER.APP.4,6,159,194,194,None,40.49828178694158,573,613.4982817869416,573.0,573.0
28,COMP_M,9,9_133,9_(128-133),284,264,195,4,9_128,51.252918287937746,575.2697873985671,626.5227056865049,464.64028776978415,575.2697873985671
17,COMP_M,16,16_209,16_(208-209),417,419,153,158,16_208,44.53835978835979,576.8211288120559,621.3594886004157,531.8211275157471,576.8211288120559
3,COMP_M,1,1_29,1_(23-29),65,76,68,137,1_23,102.48538011695906,580.9925313688227,683.4779114857818,516.9925301749461,580.9925313688227
45,COMP_M,9,9_128,M.USER.APP.9,13,284,195,195,None,89.64028776978417,582,671.6402877697842,582.0,582.0
3,COMP_M,1,1_36,1_(23-36),65,89,68,0,1_23,49.72260273972603,586.9925312250755,636.7151339648015,516.9925301749461,586.9925312250755
